<<<<<<< HEAD
Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/axi_ad9361_adc_enable_i0,i_system_wrapper/system_i/axi_ad9361_adc_valid_i0,i_system_wrapper/system_i/axi_ad9361_adc_data_i0[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_q0,i_system_wrapper/system_i/axi_ad9361_adc_valid_q0,i_system_wrapper/system_i/axi_ad9361_adc_data_q0[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_i1,i_system_wrapper/system_i/axi_ad9361_adc_valid_i1,i_system_wrapper/system_i/axi_ad9361_adc_data_i1[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_q1,i_system_wrapper/system_i/axi_ad9361_adc_valid_q1,i_system_wrapper/system_i/axi_ad9361_adc_data_q1[15:0]
25,25,0,1,0,-641,1,0,-240,1,0,-17,1,0,-5
26,26,0,1,0,-641,1,0,-240,1,0,-17,1,0,-5
27,27,0,1,1,-744,1,1,-337,1,1,-9,1,1,-5
28,28,0,1,0,-744,1,0,-337,1,0,-9,1,0,-5
29,29,0,1,0,-744,1,0,-337,1,0,-9,1,0,-5
30,30,0,1,0,-744,1,0,-337,1,0,-9,1,0,-5
31,31,0,1,1,-52,1,1,-141,1,1,13,1,1,-18
32,32,0,1,0,-52,1,0,-141,1,0,13,1,0,-18
33,33,0,1,0,-52,1,0,-141,1,0,13,1,0,-18
34,34,0,1,0,-52,1,0,-141,1,0,13,1,0,-18
35,35,0,1,1,156,1,1,468,1,1,-24,1,1,8
36,36,0,1,0,156,1,0,468,1,0,-24,1,0,8
37,37,0,1,0,156,1,0,468,1,0,-24,1,0,8
38,38,0,1,0,156,1,0,468,1,0,-24,1,0,8
39,39,0,1,1,-58,1,1,389,1,1,-20,1,1,8
40,40,0,1,0,-58,1,0,389,1,0,-20,1,0,8
41,41,0,1,0,-58,1,0,389,1,0,-20,1,0,8
42,42,0,1,0,-58,1,0,389,1,0,-20,1,0,8
43,43,0,1,1,378,1,1,-118,1,1,16,1,1,16
44,44,0,1,0,378,1,0,-118,1,0,16,1,0,16
45,45,0,1,0,378,1,0,-118,1,0,16,1,0,16
46,46,0,1,0,378,1,0,-118,1,0,16,1,0,16
47,47,0,1,1,-256,1,1,-10,1,1,7,1,1,21
48,48,0,1,0,-256,1,0,-10,1,0,7,1,0,21
49,49,0,1,0,-256,1,0,-10,1,0,7,1,0,21
50,50,0,1,0,-256,1,0,-10,1,0,7,1,0,21
51,51,0,1,1,-265,1,1,-4,1,1,-14,1,1,-1
52,52,0,1,0,-265,1,0,-4,1,0,-14,1,0,-1
53,53,0,1,0,-265,1,0,-4,1,0,-14,1,0,-1
54,54,0,1,0,-265,1,0,-4,1,0,-14,1,0,-1
55,55,0,1,1,548,1,1,-384,1,1,5,1,1,-25
56,56,0,1,0,548,1,0,-384,1,0,5,1,0,-25
57,57,0,1,0,548,1,0,-384,1,0,5,1,0,-25
58,58,0,1,0,548,1,0,-384,1,0,5,1,0,-25
59,59,0,1,1,641,1,1,-133,1,1,11,1,1,-29
60,60,0,1,0,641,1,0,-133,1,0,11,1,0,-29
61,61,0,1,0,641,1,0,-133,1,0,11,1,0,-29
62,62,0,1,0,641,1,0,-133,1,0,11,1,0,-29
63,63,0,1,1,892,1,1,384,1,1,8,1,1,-6
64,64,0,1,0,892,1,0,384,1,0,8,1,0,-6
65,65,0,1,0,892,1,0,384,1,0,8,1,0,-6
66,66,0,1,0,892,1,0,384,1,0,8,1,0,-6
67,67,0,1,1,671,1,1,204,1,1,-1,1,1,10
68,68,0,1,0,671,1,0,204,1,0,-1,1,0,10
69,69,0,1,0,671,1,0,204,1,0,-1,1,0,10
70,70,0,1,0,671,1,0,204,1,0,-1,1,0,10
71,71,0,1,1,336,1,1,-413,1,1,4,1,1,-7
72,72,0,1,0,336,1,0,-413,1,0,4,1,0,-7
73,73,0,1,0,336,1,0,-413,1,0,4,1,0,-7
74,74,0,1,0,336,1,0,-413,1,0,4,1,0,-7
75,75,0,1,1,136,1,1,-27,1,1,4,1,1,-27
76,76,0,1,0,136,1,0,-27,1,0,4,1,0,-27
77,77,0,1,0,136,1,0,-27,1,0,4,1,0,-27
78,78,0,1,0,136,1,0,-27,1,0,4,1,0,-27
79,79,0,1,1,-160,1,1,95,1,1,-2,1,1,10
80,80,0,1,0,-160,1,0,95,1,0,-2,1,0,10
81,81,0,1,0,-160,1,0,95,1,0,-2,1,0,10
82,82,0,1,0,-160,1,0,95,1,0,-2,1,0,10
83,83,0,1,1,116,1,1,-429,1,1,-3,1,1,20
84,84,0,1,0,116,1,0,-429,1,0,-3,1,0,20
85,85,0,1,0,116,1,0,-429,1,0,-3,1,0,20
86,86,0,1,0,116,1,0,-429,1,0,-3,1,0,20
87,87,0,1,1,-34,1,1,121,1,1,-10,1,1,15
88,88,0,1,0,-34,1,0,121,1,0,-10,1,0,15
89,89,0,1,0,-34,1,0,121,1,0,-10,1,0,15
90,90,0,1,0,-34,1,0,121,1,0,-10,1,0,15
91,91,0,1,1,-186,1,1,523,1,1,-7,1,1,13
92,92,0,1,0,-186,1,0,523,1,0,-7,1,0,13
93,93,0,1,0,-186,1,0,523,1,0,-7,1,0,13
94,94,0,1,0,-186,1,0,523,1,0,-7,1,0,13
95,95,0,1,1,-208,1,1,-173,1,1,9,1,1,12
96,96,0,1,0,-208,1,0,-173,1,0,9,1,0,12
97,97,0,1,0,-208,1,0,-173,1,0,9,1,0,12
98,98,0,1,0,-208,1,0,-173,1,0,9,1,0,12
99,99,0,1,1,-813,1,1,-485,1,1,-14,1,1,-23
100,100,0,1,0,-813,1,0,-485,1,0,-14,1,0,-23
101,101,0,1,0,-813,1,0,-485,1,0,-14,1,0,-23
102,102,0,1,0,-813,1,0,-485,1,0,-14,1,0,-23
103,103,0,1,1,-1001,1,1,-428,1,1,9,1,1,-14
104,104,0,1,0,-1001,1,0,-428,1,0,9,1,0,-14
105,105,0,1,0,-1001,1,0,-428,1,0,9,1,0,-14
106,106,0,1,0,-1001,1,0,-428,1,0,9,1,0,-14
107,107,0,1,1,-275,1,1,-732,1,1,-3,1,1,-20
108,108,0,1,0,-275,1,0,-732,1,0,-3,1,0,-20
109,109,0,1,0,-275,1,0,-732,1,0,-3,1,0,-20
110,110,0,1,0,-275,1,0,-732,1,0,-3,1,0,-20
111,111,0,1,1,50,1,1,-220,1,1,6,1,1,1
112,112,0,1,0,50,1,0,-220,1,0,6,1,0,1
113,113,0,1,0,50,1,0,-220,1,0,6,1,0,1
114,114,0,1,0,50,1,0,-220,1,0,6,1,0,1
115,115,0,1,1,-148,1,1,239,1,1,14,1,1,22
116,116,0,1,0,-148,1,0,239,1,0,14,1,0,22
117,117,0,1,0,-148,1,0,239,1,0,14,1,0,22
118,118,0,1,0,-148,1,0,239,1,0,14,1,0,22
119,119,0,1,1,263,1,1,123,1,1,22,1,1,9
120,120,0,1,0,263,1,0,123,1,0,22,1,0,9
121,121,0,1,0,263,1,0,123,1,0,22,1,0,9
122,122,0,1,0,263,1,0,123,1,0,22,1,0,9
123,123,0,1,1,389,1,1,-311,1,1,16,1,1,-3
124,124,0,1,0,389,1,0,-311,1,0,16,1,0,-3
125,125,0,1,0,389,1,0,-311,1,0,16,1,0,-3
126,126,0,1,0,389,1,0,-311,1,0,16,1,0,-3
127,127,0,1,1,-167,1,1,-651,1,1,-17,1,1,-47
128,128,0,1,0,-167,1,0,-651,1,0,-17,1,0,-47
129,129,0,1,0,-167,1,0,-651,1,0,-17,1,0,-47
130,130,0,1,0,-167,1,0,-651,1,0,-17,1,0,-47
131,131,0,1,1,25,1,1,-166,1,1,-11,1,1,-51
132,132,0,1,0,25,1,0,-166,1,0,-11,1,0,-51
133,133,0,1,0,25,1,0,-166,1,0,-11,1,0,-51
134,134,0,1,0,25,1,0,-166,1,0,-11,1,0,-51
135,135,0,1,1,397,1,1,4,1,1,-1,1,1,4
136,136,0,1,0,397,1,0,4,1,0,-1,1,0,4
137,137,0,1,0,397,1,0,4,1,0,-1,1,0,4
138,138,0,1,0,397,1,0,4,1,0,-1,1,0,4
139,139,0,1,1,463,1,1,180,1,1,4,1,1,5
140,140,0,1,0,463,1,0,180,1,0,4,1,0,5
141,141,0,1,0,463,1,0,180,1,0,4,1,0,5
142,142,0,1,0,463,1,0,180,1,0,4,1,0,5
143,143,0,1,1,115,1,1,622,1,1,17,1,1,15
144,144,0,1,0,115,1,0,622,1,0,17,1,0,15
145,145,0,1,0,115,1,0,622,1,0,17,1,0,15
146,146,0,1,0,115,1,0,622,1,0,17,1,0,15
147,147,0,1,1,-424,1,1,562,1,1,30,1,1,-7
148,148,0,1,0,-424,1,0,562,1,0,30,1,0,-7
149,149,0,1,0,-424,1,0,562,1,0,30,1,0,-7
150,150,0,1,0,-424,1,0,562,1,0,30,1,0,-7
151,151,0,1,1,-239,1,1,-8,1,1,-7,1,1,6
152,152,0,1,0,-239,1,0,-8,1,0,-7,1,0,6
153,153,0,1,0,-239,1,0,-8,1,0,-7,1,0,6
154,154,0,1,0,-239,1,0,-8,1,0,-7,1,0,6
155,155,0,1,1,7,1,1,51,1,1,15,1,1,-2
156,156,0,1,0,7,1,0,51,1,0,15,1,0,-2
157,157,0,1,0,7,1,0,51,1,0,15,1,0,-2
158,158,0,1,0,7,1,0,51,1,0,15,1,0,-2
159,159,0,1,1,-38,1,1,525,1,1,-2,1,1,8
160,160,0,1,0,-38,1,0,525,1,0,-2,1,0,8
161,161,0,1,0,-38,1,0,525,1,0,-2,1,0,8
162,162,0,1,0,-38,1,0,525,1,0,-2,1,0,8
163,163,0,1,1,-58,1,1,785,1,1,-7,1,1,-1
164,164,0,1,0,-58,1,0,785,1,0,-7,1,0,-1
165,165,0,1,0,-58,1,0,785,1,0,-7,1,0,-1
166,166,0,1,0,-58,1,0,785,1,0,-7,1,0,-1
167,167,0,1,1,40,1,1,830,1,1,-53,1,1,6
168,168,0,1,0,40,1,0,830,1,0,-53,1,0,6
169,169,0,1,0,40,1,0,830,1,0,-53,1,0,6
170,170,0,1,0,40,1,0,830,1,0,-53,1,0,6
171,171,0,1,1,-63,1,1,437,1,1,8,1,1,-1
172,172,0,1,0,-63,1,0,437,1,0,8,1,0,-1
173,173,0,1,0,-63,1,0,437,1,0,8,1,0,-1
174,174,0,1,0,-63,1,0,437,1,0,8,1,0,-1
175,175,0,1,1,-140,1,1,-51,1,1,24,1,1,-10
176,176,0,1,0,-140,1,0,-51,1,0,24,1,0,-10
177,177,0,1,0,-140,1,0,-51,1,0,24,1,0,-10
178,178,0,1,0,-140,1,0,-51,1,0,24,1,0,-10
179,179,0,1,1,-223,1,1,-431,1,1,28,1,1,13
180,180,0,1,0,-223,1,0,-431,1,0,28,1,0,13
181,181,0,1,0,-223,1,0,-431,1,0,28,1,0,13
182,182,0,1,0,-223,1,0,-431,1,0,28,1,0,13
183,183,0,1,1,-310,1,1,44,1,1,-3,1,1,-7
184,184,0,1,0,-310,1,0,44,1,0,-3,1,0,-7
185,185,0,1,0,-310,1,0,44,1,0,-3,1,0,-7
186,186,0,1,0,-310,1,0,44,1,0,-3,1,0,-7
187,187,0,1,1,-353,1,1,222,1,1,-3,1,1,12
188,188,0,1,0,-353,1,0,222,1,0,-3,1,0,12
189,189,0,1,0,-353,1,0,222,1,0,-3,1,0,12
190,190,0,1,0,-353,1,0,222,1,0,-3,1,0,12
191,191,0,1,1,-214,1,1,-80,1,1,15,1,1,5
192,192,0,1,0,-214,1,0,-80,1,0,15,1,0,5
193,193,0,1,0,-214,1,0,-80,1,0,15,1,0,5
194,194,0,1,0,-214,1,0,-80,1,0,15,1,0,5
195,195,0,1,1,-256,1,1,-254,1,1,-12,1,1,-12
196,196,0,1,0,-256,1,0,-254,1,0,-12,1,0,-12
197,197,0,1,0,-256,1,0,-254,1,0,-12,1,0,-12
198,198,0,1,0,-256,1,0,-254,1,0,-12,1,0,-12
199,199,0,1,1,-85,1,1,-111,1,1,4,1,1,-18
200,200,0,1,0,-85,1,0,-111,1,0,4,1,0,-18
201,201,0,1,0,-85,1,0,-111,1,0,4,1,0,-18
202,202,0,1,0,-85,1,0,-111,1,0,4,1,0,-18
203,203,0,1,1,247,1,1,-129,1,1,4,1,1,-22
204,204,0,1,0,247,1,0,-129,1,0,4,1,0,-22
205,205,0,1,0,247,1,0,-129,1,0,4,1,0,-22
206,206,0,1,0,247,1,0,-129,1,0,4,1,0,-22
207,207,0,1,1,10,1,1,-155,1,1,2,1,1,21
208,208,0,1,0,10,1,0,-155,1,0,2,1,0,21
209,209,0,1,0,10,1,0,-155,1,0,2,1,0,21
210,210,0,1,0,10,1,0,-155,1,0,2,1,0,21
211,211,0,1,1,-392,1,1,-364,1,1,-1,1,1,15
212,212,0,1,0,-392,1,0,-364,1,0,-1,1,0,15
213,213,0,1,0,-392,1,0,-364,1,0,-1,1,0,15
214,214,0,1,0,-392,1,0,-364,1,0,-1,1,0,15
215,215,0,1,1,-131,1,1,-513,1,1,10,1,1,-9
216,216,0,1,0,-131,1,0,-513,1,0,10,1,0,-9
217,217,0,1,0,-131,1,0,-513,1,0,10,1,0,-9
218,218,0,1,0,-131,1,0,-513,1,0,10,1,0,-9
219,219,0,1,1,-73,1,1,-212,1,1,16,1,1,-20
220,220,0,1,0,-73,1,0,-212,1,0,16,1,0,-20
221,221,0,1,0,-73,1,0,-212,1,0,16,1,0,-20
222,222,0,1,0,-73,1,0,-212,1,0,16,1,0,-20
223,223,0,1,1,-252,1,1,81,1,1,-11,1,1,-3
224,224,0,1,0,-252,1,0,81,1,0,-11,1,0,-3
225,225,0,1,0,-252,1,0,81,1,0,-11,1,0,-3
226,226,0,1,0,-252,1,0,81,1,0,-11,1,0,-3
227,227,0,1,1,215,1,1,185,1,1,-2,1,1,-10
228,228,0,1,0,215,1,0,185,1,0,-2,1,0,-10
229,229,0,1,0,215,1,0,185,1,0,-2,1,0,-10
230,230,0,1,0,215,1,0,185,1,0,-2,1,0,-10
231,231,0,1,1,118,1,1,-16,1,1,28,1,1,-4
232,232,0,1,0,118,1,0,-16,1,0,28,1,0,-4
233,233,0,1,0,118,1,0,-16,1,0,28,1,0,-4
234,234,0,1,0,118,1,0,-16,1,0,28,1,0,-4
235,235,0,1,1,108,1,1,192,1,1,5,1,1,-4
236,236,0,1,0,108,1,0,192,1,0,5,1,0,-4
237,237,0,1,0,108,1,0,192,1,0,5,1,0,-4
238,238,0,1,0,108,1,0,192,1,0,5,1,0,-4
239,239,0,1,1,570,1,1,192,1,1,-18,1,1,5
240,240,0,1,0,570,1,0,192,1,0,-18,1,0,5
241,241,0,1,0,570,1,0,192,1,0,-18,1,0,5
242,242,0,1,0,570,1,0,192,1,0,-18,1,0,5
243,243,0,1,1,186,1,1,111,1,1,-23,1,1,-14
244,244,0,1,0,186,1,0,111,1,0,-23,1,0,-14
245,245,0,1,0,186,1,0,111,1,0,-23,1,0,-14
246,246,0,1,0,186,1,0,111,1,0,-23,1,0,-14
247,247,0,1,1,482,1,1,-292,1,1,-20,1,1,-25
248,248,0,1,0,482,1,0,-292,1,0,-20,1,0,-25
249,249,0,1,0,482,1,0,-292,1,0,-20,1,0,-25
250,250,0,1,0,482,1,0,-292,1,0,-20,1,0,-25
251,251,0,1,1,759,1,1,-561,1,1,-6,1,1,-14
252,252,0,1,0,759,1,0,-561,1,0,-6,1,0,-14
253,253,0,1,0,759,1,0,-561,1,0,-6,1,0,-14
254,254,0,1,0,759,1,0,-561,1,0,-6,1,0,-14
255,255,0,1,1,491,1,1,-145,1,1,4,1,1,3
256,256,0,1,0,491,1,0,-145,1,0,4,1,0,3
257,257,0,1,0,491,1,0,-145,1,0,4,1,0,3
258,258,0,1,0,491,1,0,-145,1,0,4,1,0,3
259,259,0,1,1,660,1,1,84,1,1,5,1,1,24
260,260,0,1,0,660,1,0,84,1,0,5,1,0,24
261,261,0,1,0,660,1,0,84,1,0,5,1,0,24
262,262,0,1,0,660,1,0,84,1,0,5,1,0,24
263,263,0,1,1,-12,1,1,-117,1,1,-6,1,1,-4
264,264,0,1,0,-12,1,0,-117,1,0,-6,1,0,-4
265,265,0,1,0,-12,1,0,-117,1,0,-6,1,0,-4
266,266,0,1,0,-12,1,0,-117,1,0,-6,1,0,-4
267,267,0,1,1,-190,1,1,144,1,1,10,1,1,-13
268,268,0,1,0,-190,1,0,144,1,0,10,1,0,-13
269,269,0,1,0,-190,1,0,144,1,0,10,1,0,-13
270,270,0,1,0,-190,1,0,144,1,0,10,1,0,-13
271,271,0,1,1,71,1,1,721,1,1,13,1,1,-20
272,272,0,1,0,71,1,0,721,1,0,13,1,0,-20
273,273,0,1,0,71,1,0,721,1,0,13,1,0,-20
274,274,0,1,0,71,1,0,721,1,0,13,1,0,-20
275,275,0,1,1,6,1,1,607,1,1,5,1,1,18
276,276,0,1,0,6,1,0,607,1,0,5,1,0,18
277,277,0,1,0,6,1,0,607,1,0,5,1,0,18
278,278,0,1,0,6,1,0,607,1,0,5,1,0,18
279,279,0,1,1,-56,1,1,-325,1,1,8,1,1,-3
280,280,0,1,0,-56,1,0,-325,1,0,8,1,0,-3
281,281,0,1,0,-56,1,0,-325,1,0,8,1,0,-3
282,282,0,1,0,-56,1,0,-325,1,0,8,1,0,-3
283,283,0,1,1,-101,1,1,-105,1,1,-2,1,1,-6
284,284,0,1,0,-101,1,0,-105,1,0,-2,1,0,-6
285,285,0,1,0,-101,1,0,-105,1,0,-2,1,0,-6
286,286,0,1,0,-101,1,0,-105,1,0,-2,1,0,-6
287,287,0,1,1,-23,1,1,247,1,1,-9,1,1,22
288,288,0,1,0,-23,1,0,247,1,0,-9,1,0,22
289,289,0,1,0,-23,1,0,247,1,0,-9,1,0,22
290,290,0,1,0,-23,1,0,247,1,0,-9,1,0,22
291,291,0,1,1,265,1,1,560,1,1,10,1,1,5
292,292,0,1,0,265,1,0,560,1,0,10,1,0,5
293,293,0,1,0,265,1,0,560,1,0,10,1,0,5
294,294,0,1,0,265,1,0,560,1,0,10,1,0,5
295,295,0,1,1,106,1,1,582,1,1,-16,1,1,0
296,296,0,1,0,106,1,0,582,1,0,-16,1,0,0
297,297,0,1,0,106,1,0,582,1,0,-16,1,0,0
298,298,0,1,0,106,1,0,582,1,0,-16,1,0,0
299,299,0,1,1,-189,1,1,747,1,1,7,1,1,-7
300,300,0,1,0,-189,1,0,747,1,0,7,1,0,-7
301,301,0,1,0,-189,1,0,747,1,0,7,1,0,-7
302,302,0,1,0,-189,1,0,747,1,0,7,1,0,-7
303,303,0,1,1,-510,1,1,1117,1,1,4,1,1,18
304,304,0,1,0,-510,1,0,1117,1,0,4,1,0,18
305,305,0,1,0,-510,1,0,1117,1,0,4,1,0,18
306,306,0,1,0,-510,1,0,1117,1,0,4,1,0,18
307,307,0,1,1,-423,1,1,1191,1,1,6,1,1,34
308,308,0,1,0,-423,1,0,1191,1,0,6,1,0,34
309,309,0,1,0,-423,1,0,1191,1,0,6,1,0,34
310,310,0,1,0,-423,1,0,1191,1,0,6,1,0,34
311,311,0,1,1,-1,1,1,336,1,1,6,1,1,44
312,312,0,1,0,-1,1,0,336,1,0,6,1,0,44
313,313,0,1,0,-1,1,0,336,1,0,6,1,0,44
314,314,0,1,0,-1,1,0,336,1,0,6,1,0,44
315,315,0,1,1,48,1,1,-262,1,1,2,1,1,4
316,316,0,1,0,48,1,0,-262,1,0,2,1,0,4
317,317,0,1,0,48,1,0,-262,1,0,2,1,0,4
318,318,0,1,0,48,1,0,-262,1,0,2,1,0,4
319,319,0,1,1,-17,1,1,-352,1,1,-9,1,1,23
320,320,0,1,0,-17,1,0,-352,1,0,-9,1,0,23
321,321,0,1,0,-17,1,0,-352,1,0,-9,1,0,23
322,322,0,1,0,-17,1,0,-352,1,0,-9,1,0,23
323,323,0,1,1,64,1,1,-836,1,1,-3,1,1,14
324,324,0,1,0,64,1,0,-836,1,0,-3,1,0,14
325,325,0,1,0,64,1,0,-836,1,0,-3,1,0,14
326,326,0,1,0,64,1,0,-836,1,0,-3,1,0,14
327,327,0,1,1,-437,1,1,-176,1,1,-19,1,1,26
328,328,0,1,0,-437,1,0,-176,1,0,-19,1,0,26
329,329,0,1,0,-437,1,0,-176,1,0,-19,1,0,26
330,330,0,1,0,-437,1,0,-176,1,0,-19,1,0,26
331,331,0,1,1,-803,1,1,582,1,1,9,1,1,27
332,332,0,1,0,-803,1,0,582,1,0,9,1,0,27
333,333,0,1,0,-803,1,0,582,1,0,9,1,0,27
334,334,0,1,0,-803,1,0,582,1,0,9,1,0,27
335,335,0,1,1,-249,1,1,219,1,1,10,1,1,12
336,336,0,1,0,-249,1,0,219,1,0,10,1,0,12
337,337,0,1,0,-249,1,0,219,1,0,10,1,0,12
338,338,0,1,0,-249,1,0,219,1,0,10,1,0,12
339,339,0,1,1,518,1,1,-331,1,1,-12,1,1,1
340,340,0,1,0,518,1,0,-331,1,0,-12,1,0,1
341,341,0,1,0,518,1,0,-331,1,0,-12,1,0,1
342,342,0,1,0,518,1,0,-331,1,0,-12,1,0,1
343,343,0,1,1,-244,1,1,-288,1,1,-20,1,1,-31
344,344,0,1,0,-244,1,0,-288,1,0,-20,1,0,-31
345,345,0,1,0,-244,1,0,-288,1,0,-20,1,0,-31
346,346,0,1,0,-244,1,0,-288,1,0,-20,1,0,-31
347,347,0,1,1,-629,1,1,326,1,1,11,1,1,-42
348,348,0,1,0,-629,1,0,326,1,0,11,1,0,-42
349,349,0,1,0,-629,1,0,326,1,0,11,1,0,-42
350,350,0,1,0,-629,1,0,326,1,0,11,1,0,-42
351,351,0,1,1,8,1,1,543,1,1,6,1,1,-21
352,352,0,1,0,8,1,0,543,1,0,6,1,0,-21
353,353,0,1,0,8,1,0,543,1,0,6,1,0,-21
354,354,0,1,0,8,1,0,543,1,0,6,1,0,-21
355,355,0,1,1,256,1,1,-174,1,1,0,1,1,-2
356,356,0,1,0,256,1,0,-174,1,0,0,1,0,-2
357,357,0,1,0,256,1,0,-174,1,0,0,1,0,-2
358,358,0,1,0,256,1,0,-174,1,0,0,1,0,-2
359,359,0,1,1,308,1,1,-235,1,1,-14,1,1,16
360,360,0,1,0,308,1,0,-235,1,0,-14,1,0,16
361,361,0,1,0,308,1,0,-235,1,0,-14,1,0,16
362,362,0,1,0,308,1,0,-235,1,0,-14,1,0,16
363,363,0,1,1,446,1,1,140,1,1,-14,1,1,-19
364,364,0,1,0,446,1,0,140,1,0,-14,1,0,-19
365,365,0,1,0,446,1,0,140,1,0,-14,1,0,-19
366,366,0,1,0,446,1,0,140,1,0,-14,1,0,-19
367,367,0,1,1,-286,1,1,141,1,1,5,1,1,-47
368,368,0,1,0,-286,1,0,141,1,0,5,1,0,-47
369,369,0,1,0,-286,1,0,141,1,0,5,1,0,-47
370,370,0,1,0,-286,1,0,141,1,0,5,1,0,-47
371,371,0,1,1,-502,1,1,471,1,1,3,1,1,-22
372,372,0,1,0,-502,1,0,471,1,0,3,1,0,-22
373,373,0,1,0,-502,1,0,471,1,0,3,1,0,-22
374,374,0,1,0,-502,1,0,471,1,0,3,1,0,-22
375,375,0,1,1,-151,1,1,729,1,1,-1,1,1,-8
376,376,0,1,0,-151,1,0,729,1,0,-1,1,0,-8
377,377,0,1,0,-151,1,0,729,1,0,-1,1,0,-8
378,378,0,1,0,-151,1,0,729,1,0,-1,1,0,-8
379,379,0,1,1,245,1,1,885,1,1,-3,1,1,-7
380,380,0,1,0,245,1,0,885,1,0,-3,1,0,-7
381,381,0,1,0,245,1,0,885,1,0,-3,1,0,-7
382,382,0,1,0,245,1,0,885,1,0,-3,1,0,-7
383,383,0,1,1,801,1,1,588,1,1,5,1,1,11
384,384,0,1,0,801,1,0,588,1,0,5,1,0,11
385,385,0,1,0,801,1,0,588,1,0,5,1,0,11
386,386,0,1,0,801,1,0,588,1,0,5,1,0,11
387,387,0,1,1,156,1,1,286,1,1,-24,1,1,30
388,388,0,1,0,156,1,0,286,1,0,-24,1,0,30
389,389,0,1,0,156,1,0,286,1,0,-24,1,0,30
390,390,0,1,0,156,1,0,286,1,0,-24,1,0,30
391,391,0,1,1,-253,1,1,239,1,1,-24,1,1,8
392,392,0,1,0,-253,1,0,239,1,0,-24,1,0,8
393,393,0,1,0,-253,1,0,239,1,0,-24,1,0,8
394,394,0,1,0,-253,1,0,239,1,0,-24,1,0,8
395,395,0,1,1,-367,1,1,577,1,1,-6,1,1,3
396,396,0,1,0,-367,1,0,577,1,0,-6,1,0,3
397,397,0,1,0,-367,1,0,577,1,0,-6,1,0,3
398,398,0,1,0,-367,1,0,577,1,0,-6,1,0,3
399,399,0,1,1,-575,1,1,339,1,1,21,1,1,-10
400,400,0,1,0,-575,1,0,339,1,0,21,1,0,-10
401,401,0,1,0,-575,1,0,339,1,0,21,1,0,-10
402,402,0,1,0,-575,1,0,339,1,0,21,1,0,-10
403,403,0,1,1,-298,1,1,104,1,1,-25,1,1,9
404,404,0,1,0,-298,1,0,104,1,0,-25,1,0,9
405,405,0,1,0,-298,1,0,104,1,0,-25,1,0,9
406,406,0,1,0,-298,1,0,104,1,0,-25,1,0,9
407,407,0,1,1,-50,1,1,451,1,1,-7,1,1,11
408,408,0,1,0,-50,1,0,451,1,0,-7,1,0,11
409,409,0,1,0,-50,1,0,451,1,0,-7,1,0,11
410,410,0,1,0,-50,1,0,451,1,0,-7,1,0,11
